major_group,major_group_name,code,name
U,Science & Technology,U12,Fund Raising & Fund Distribution 
U,Science & Technology,U19,Support NEC
U,Science & Technology,U20,General Science
U,Science & Technology,U21,Marine Science & Oceanography
U,Science & Technology,U30,Physical & Earth Sciences
U,Science & Technology,U31,Astronomy
U,Science & Technology,U33,Chemistry & Chemical Engineering
U,Science & Technology,U34,Mathematics
U,Science & Technology,U36,Geology
U,Science & Technology,U40,Engineering & Technology
U,Science & Technology,U41,Computer Science
U,Science & Technology,U42,Engineering
U,Science & Technology,U50,Biological & Life Sciences
U,Science & Technology,U99,Science & Technology NEC
V,Social Science,V01,Alliances & Advocacy 
V,Social Science,V02,Management & Technical Assistance 
V,Social Science,V03,Professional Societies & Associations 
V,Social Science,V05,Research Institutes & Public Policy Analysis 
V,Social Science,V11,Single Organization Support 
V,Social Science,V12,Fund Raising & Fund Distribution 
V,Social Science,V19,Support NEC
V,Social Science,V20,Social Science
V,Social Science,V21,Anthropology & Sociology
V,Social Science,V22,Economics
V,Social Science,V23,Behavioral Science
V,Social Science,V24,Political Science
V,Social Science,V25,Population Studies
V,Social Science,V26,Law & Jurisprudence
V,Social Science,V30,Interdisciplinary Research
V,Social Science,V31,Black Studies
V,Social Science,V32,Women's Studies
V,Social Science,V33,Ethnic Studies
V,Social Science,V34,Urban Studies
V,Social Science,V35,International Studies
V,Social Science,V36,Gerontology
V,Social Science,V37,Labor Studies
V,Social Science,V99,Social Science NEC
W,Public & Societal Benefit,W01,Alliances & Advocacy 
W,Public & Societal Benefit,W02,Management & Technical Assistance 
W,Public & Societal Benefit,W03,Professional Societies & Associations 
W,Public & Societal Benefit,W05,Research Institutes & Public Policy Analysis 
W,Public & Societal Benefit,W11,Single Organization Support 
W,Public & Societal Benefit,W12,Fund Raising & Fund Distribution 
W,Public & Societal Benefit,W19,Support NEC
W,Public & Societal Benefit,W20,Government & Public Administration
W,Public & Societal Benefit,W22,"Public Finance, Taxation & Monetary Policy"
W,Public & Societal Benefit,W24,Citizen Participation
W,Public & Societal Benefit,W30,Military & Veterans' Organizations
W,Public & Societal Benefit,W40,Public Transportation Systems
W,Public & Societal Benefit,W50,Telecommunications
W,Public & Societal Benefit,W60,Financial Institutions
W,Public & Societal Benefit,W61,Credit Unions
W,Public & Societal Benefit,W70,Leadership Development
W,Public & Societal Benefit,W80,Public Utilities
W,Public & Societal Benefit,W90,Consumer Protection
W,Public & Societal Benefit,W99,Public & Societal Benefit NEC
X,Religion-Related,X01,Alliances & Advocacy 
X,Religion-Related,X02,Management & Technical Assistance 
X,Religion-Related,X03,Professional Societies & Associations 
X,Religion-Related,X05,Research Institutes & Public Policy Analysis 
X,Religion-Related,X11,Single Organization Support 
X,Religion-Related,X12,Fund Raising & Fund Distribution 
X,Religion-Related,X19,Support NEC
X,Religion-Related,X20,Christianity
X,Religion-Related,X21,Protestant
X,Religion-Related,X22,Roman Catholic
X,Religion-Related,X30,Judaism
X,Religion-Related,X40,Islam
X,Religion-Related,X50,Buddhism
X,Religion-Related,X70,Hinduism
X,Religion-Related,X80,Religious Media & Communications
X,Religion-Related,X81,Religious Film & Video
X,Religion-Related,X82,Religious Television
X,Religion-Related,X83,Religious Printing & Publishing
X,Religion-Related,X84,Religious Radio 
X,Religion-Related,X90,Interfaith Coalitions
X,Religion-Related,X99,Religion-Related NEC
Y,Mutual & Membership Benefit,Y01,Alliances & Advocacy 
Y,Mutual & Membership Benefit,Y02,Management & Technical Assistance 
Y,Mutual & Membership Benefit,Y03,Professional Societies & Associations 
Y,Mutual & Membership Benefit,Y05,Research Institutes & Public Policy Analysis 
Y,Mutual & Membership Benefit,Y11,Single Organization Support 
Y,Mutual & Membership Benefit,Y12,Fund Raising & Fund Distribution 
Y,Mutual & Membership Benefit,Y19,Support NEC
Y,Mutual & Membership Benefit,Y20,Insurance Providers
Y,Mutual & Membership Benefit,Y22,"Local Benevolent Life Insurance Associations, Mutual Irrigation & Telephone,Companies & Like Organizations"
Y,Mutual & Membership Benefit,Y23,Mutual Insurance Companies & Associations
Y,Mutual & Membership Benefit,Y24,Supplemental Unemployment Compensation
Y,Mutual & Membership Benefit,Y25,State-Sponsored Worker's Compensation Reinsurance Organizations
Y,Mutual & Membership Benefit,Y30,Pension & Retirement Funds
Y,Mutual & Membership Benefit,Y33,Teachers Retirement Fund Associations
Y,Mutual & Membership Benefit,Y34,Employee Funded Pension Trusts
Y,Mutual & Membership Benefit,Y35,Multi-Employer Pension Plans
Y,Mutual & Membership Benefit,Y40,Fraternal Societies
Y,Mutual & Membership Benefit,Y41,Fraternal Beneficiary Societies
Y,Mutual & Membership Benefit,Y42,Domestic Fraternal Societies
Y,Mutual & Membership Benefit,Y43,Voluntary Employees Beneficiary Associations (Non-Government)
Y,Mutual & Membership Benefit,Y44,Voluntary Employees Beneficiary Associations (Government) 
Y,Mutual & Membership Benefit,Y50,Cemeteries
Y,Mutual & Membership Benefit,Y99,Mutual & Membership Benefit NEC
Z,Unknown,Z99,Unknown
